Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
21,Wed,11/03/2020,18:30 (17:30),M'Gladbach,0.9,2â€“1,0.8,Köln,,Stadion im Borussia-Park,Deniz Aytekin
26,Sat,16/05/2020,15:30 (14:30),Hoffenheim,2.5,0â€“3,1.5,Hertha BSC,,PreZero Arena,Christian Dingert
26,Sat,16/05/2020,15:30 (14:30),Düsseldorf,0.7,0â€“0,0.7,Paderborn 07,,Merkur Spielarena,Frank Willenborg
26,Sat,16/05/2020,15:30 (14:30),Dortmund,1.6,4â€“0,0.5,Schalke 04,,Signal Iduna Park,Deniz Aytekin
26,Sat,16/05/2020,15:30 (14:30),Augsburg,1.1,1â€“2,1.5,Wolfsburg,,WWK Arena,Felix Brych
26,Sat,16/05/2020,15:30 (14:30),RB Leipzig,2.1,1â€“1,0.3,Freiburg,,Red Bull Arena,Manuel GrÃ¤fe
26,Sat,16/05/2020,18:30 (17:30),Eint Frankfurt,1,1â€“3,3.2,M'Gladbach,,Commerzbank-Arena,Felix Zwayer
26,Sun,17/05/2020,15:30 (14:30),Köln,2.3,2â€“2,1.9,Mainz 05,,RheinEnergieSTADION,Guido Winkmann
26,Sun,17/05/2020,18:00 (17:00),Union Berlin,0.5,0â€“2,1.5,Bayern Munich,,Stadion An der Alten Försterei,Bastian Dankert
26,Mon,18/05/2020,20:30 (19:30),Werder Bremen,1.2,1â€“4,1.7,Leverkusen,,Weserstadion,Tobias Stieler
27,Fri,22/05/2020,20:30 (19:30),Hertha BSC,1.6,4â€“0,0.2,Union Berlin,,Olympiastadion Berlin,Harm Osmers
27,Sat,23/05/2020,15:30 (14:30),Wolfsburg,0.4,0â€“2,0.9,Dortmund,,Volkswagen Arena,Daniel Siebert
27,Sat,23/05/2020,15:30 (14:30),M'Gladbach,1.6,1â€“3,2.9,Leverkusen,,Stadion im Borussia-Park,Sören Storks
27,Sat,23/05/2020,15:30 (14:30),Freiburg,0.7,0â€“1,0.8,Werder Bremen,,Schwarzwald-Stadion,Robert Hartmann
27,Sat,23/05/2020,15:30 (14:30),Paderborn 07,0.7,1â€“1,1.7,Hoffenheim,,Benteler-Arena,Bibiana Steinhaus
