Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
1,Fri,16/08/2019,21:00 (20:00),Athletic Club,0.5,1â€“0,0.9,Barcelona,"47,693",San Mamés,Carlos del Cerro
1,Sat,17/08/2019,17:00 (16:00),Celta Vigo,0.8,1â€“3,1.5,Real Madrid,"23,566",Estadio de Balaídos,Javier Estrada
1,Sat,17/08/2019,19:00 (18:00),Valencia,2.3,1â€“1,1.3,Real Sociedad,"41,846",Estadio de Mestalla, Jesús Gil
1,Sat,17/08/2019,20:00 (19:00),Mallorca,1.7,2â€“1,0.7,Eibar,"15,127",Iberostar Estadi,Mario Melero
1,Sat,17/08/2019,21:00 (20:00),Leganés,1,0â€“1,0.2,Osasuna,"10,020",Estadio Municipal de Butarque,Alberola Rojas
1,Sat,17/08/2019,21:00 (20:00),Villarreal,1.6,4â€“4,2.2,Granada,"14,753",Estadio de la Cerámica,Adrián Cordero
1,Sun,18/08/2019,17:00 (16:00),Alavés,0.4,1â€“0,0.7,Levante,"12,029",Estadio de Mendizorroza,César Soto
1,Sun,18/08/2019,19:00 (18:00),Espanyol,0.2,0â€“2,1.2,Sevilla,"19,832",RCDE Stadium,Juan Martínez
1,Sun,18/08/2019,21:00 (20:00),Betis,0.9,1â€“2,0.7,Valladolid,"51,497",Estadio Benito Villamarín,Santiago Jaime
1,Sun,18/08/2019,22:00 (21:00),Atlético Madrid,1.6,1â€“0,0.4,Getafe,"55,099",Estadio Wanda Metropolitano,Guillermo Cuadra
2,Fri,23/08/2019,20:00 (19:00),Granada,0.6,0â€“1,0.5,Sevilla,"15,849",Estadio Nuevo Los Cármenes,José Sánchez
2,Fri,23/08/2019,22:00 (21:00),Levante,2,2â€“1,2.8,Villarreal,"20,240",Estadio Ciudad de Valencia,José Luis Munuera
2,Sat,24/08/2019,17:00 (16:00),Osasuna,0.6,0â€“0,0.6,Eibar,"13,978",Estadio El Sadar,David Medié
2,Sat,24/08/2019,19:00 (18:00),Real Madrid,1.1,1â€“1,0.6,Valladolid,"63,037",Estadio Santiago Bernabéu, Pablo González
2,Sat,24/08/2019,21:00 (20:00),Getafe,0.3,1â€“1,0.3,Athletic Club,"10,103",Coliseum Alfonso Pérez,Antonio Matéu Lahoz
2,Sat,24/08/2019,21:00 (20:00),Celta Vigo,1.8,1â€“0,0.9,Valencia,"20,034",Estadio de Balaídos,Alejandro Hernández
2,Sun,25/08/2019,17:00 (16:00),Alavés,0.5,0â€“0,0.1,Espanyol,"14,567",Estadio de Mendizorroza,Eduardo Prieto
2,Sun,25/08/2019,17:00 (16:00),Mallorca,0.7,0â€“1,1.3,Real Sociedad,"18,028",Iberostar Estadi, Valentín Pizarro
2,Sun,25/08/2019,19:00 (18:00),Leganés,0.4,0â€“1,1.1,Atlético Madrid,"11,742",Estadio Municipal de Butarque,Ricardo de Burgos
2,Sun,25/08/2019,21:00 (20:00),Barcelona,1.8,5â€“2,0.2,Betis,"79,159",Camp Nou,José González
3,Fri,30/08/2019,20:00 (19:00),Sevilla,1.3,1â€“1,0.5,Celta Vigo,"37,787",Estadio Ramón Sánchez Pizjuán,Carlos del Cerro
3,Fri,30/08/2019,22:00 (21:00),Athletic Club,0.9,2â€“0,0.3,Real Sociedad,"46,697",San Mamés,Javier Estrada
3,Sat,31/08/2019,17:00 (16:00),Osasuna,1.6,2â€“2,0.3,Barcelona,"16,742",Estadio El Sadar,Juan Martínez
3,Sat,31/08/2019,19:00 (18:00),Levante,1.6,2â€“0,1,Valladolid,"19,347",Estadio Ciudad de Valencia,Adrián Cordero
3,Sat,31/08/2019,19:00 (18:00),Getafe,1.1,1â€“1,0.9,Alavés,"10,806",Coliseum Alfonso Pérez,Mario Melero
3,Sat,31/08/2019,21:00 (20:00),Betis,1.5,2â€“1,1,Leganés,"47,819",Estadio Benito Villamarín,Guillermo Cuadra
3,Sun,01/09/2019,17:00 (16:00),Valencia,2.1,2â€“0,1.2,Mallorca,"40,441",Estadio de Mestalla,Alberola Rojas
3,Sun,01/09/2019,19:00 (18:00),Atlético Madrid,1.6,3â€“2,0.6,Eibar,"56,664",Estadio Wanda Metropolitano,Santiago Jaime
3,Sun,01/09/2019,19:00 (18:00),Espanyol,0.9,0â€“3,1.4,Granada,"20,870",RCDE Stadium,César Soto
3,Sun,01/09/2019,21:00 (20:00),Villarreal,1.5,2â€“2,1.8,Real Madrid,"20,128",Estadio de la Cerámica, Jesús Gil
4,Fri,13/09/2019,21:00 (20:00),Mallorca,1.6,0â€“0,1.2,Athletic Club,"16,390",Iberostar Estadi, Pablo González
4,Sat,14/09/2019,13:00 (12:00),Real Madrid,2.5,3â€“2,0.7,Levante,"60,401",Estadio Santiago Bernabéu,Ricardo de Burgos
4,Sat,14/09/2019,16:00 (15:00),Leganés,0.6,0â€“3,0.9,Villarreal,"7,670",Estadio Municipal de Butarque,David Medié
4,Sat,14/09/2019,18:30 (17:30),Real Sociedad,1.3,2â€“0,1,Atlético Madrid,"34,719",Estadio Municipal de Anoeta,Antonio Matéu Lahoz
4,Sat,14/09/2019,21:00 (20:00),Barcelona,2,5â€“2,1.3,Valencia,"81,617",Camp Nou,José Sánchez
4,Sun,15/09/2019,12:00 (11:00),Eibar,0.5,1â€“2,1.5,Espanyol,"5,410", Estadio Municipal de Ipurúa, Valentín Pizarro
4,Sun,15/09/2019,14:00 (13:00),Alavés,0.5,0â€“1,1.3,Sevilla,"16,309",Estadio de Mendizorroza,Alejandro Hernández
4,Sun,15/09/2019,16:00 (15:00),Celta Vigo,0.2,0â€“2,1.1,Granada,"18,259",Estadio de Balaídos,Eduardo Prieto
4,Sun,15/09/2019,18:30 (17:30),Valladolid,0.7,1â€“1,1.9,Osasuna,"20,670",Estadio Municipal José Zorrilla,José Luis Munuera
4,Sun,15/09/2019,21:00 (20:00),Betis,0.9,1â€“1,1.4,Getafe,"47,884",Estadio Benito Villamarín,José González
5,Fri,20/09/2019,21:00 (20:00),Osasuna,1.5,0â€“0,0.4,Betis,"15,569",Estadio El Sadar,Carlos del Cerro
5,Sat,21/09/2019,13:00 (12:00),Villarreal,2,2â€“0,0.5,Valladolid,"16,195",Estadio de la Cerámica,César Soto
5,Sat,21/09/2019,16:00 (15:00),Levante,1.1,0â€“0,1.4,Eibar,"18,904",Estadio Ciudad de Valencia,Alberola Rojas
5,Sat,21/09/2019,18:30 (17:30),Atlético Madrid,1.1,0â€“0,0.4,Celta Vigo,"57,701",Estadio Wanda Metropolitano,Mario Melero
5,Sat,21/09/2019,21:00 (20:00),Granada,1.7,2â€“0,0.7,Barcelona,"18,880",Estadio Nuevo Los Cármenes,Guillermo Cuadra
5,Sun,22/09/2019,12:00 (11:00),Getafe,2,4â€“2,0.7,Mallorca,"11,338",Coliseum Alfonso Pérez,Santiago Jaime
5,Sun,22/09/2019,14:00 (13:00),Espanyol,1,1â€“3,1.1,Real Sociedad,"19,173",RCDE Stadium,Adrián Cordero
5,Sun,22/09/2019,16:00 (15:00),Valencia,1.4,1â€“1,0.9,Leganés,"39,014",Estadio de Mestalla,Javier Estrada
5,Sun,22/09/2019,18:30 (17:30),Athletic Club,2.3,2â€“0,0.5,Alavés,"45,143",San Mamés, Jesús Gil
