Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
1,Fri,21/08/2020,19:00 (18:00),Bordeaux,0.4,0â€“0,0.3,Nantes,,Stade Matmut-Atlantique,Benoît Bastien
1,Sat,22/08/2020,17:00 (16:00),Dijon,0.5,0â€“1,2.1,Angers,, Stade Gaston Gérard,Eric Wattellier
1,Sun,23/08/2020,13:00 (12:00),Monaco,2,2â€“2,1.3,Reims,,Stade Louis II., François Letexier
1,Sun,23/08/2020,15:00 (14:00),Nîmes,1.1,4â€“0,0.4,Brest,,Stade des Costières,Jérémie Pignard
1,Sun,23/08/2020,15:00 (14:00),Lorient,2.8,3â€“1,0.5,Strasbourg,,Stade Yves Allainmat - Le Moustoir,Johan Hamel
1,Sun,23/08/2020,17:00 (16:00),Nice,0.2,2â€“1,2.5,Lens,,Stade de Nice, Jérôme Miguelgorry
2,Fri,28/08/2020,21:00 (20:00),Lyon,4.8,4â€“1,0.4,Dijon,,Groupama Stadium, Benoît Millot
2,Sat,29/08/2020,17:00 (16:00),Rennes,1.9,2â€“1,0.5,Montpellier,,Roazhon Park,Willy Delajod
2,Sat,29/08/2020,21:00 (20:00),Strasbourg,0.2,0â€“2,1.4,Nice,,Stade de la Meinau,Jérôme Brisard
2,Sun,30/08/2020,13:00 (12:00),Reims,0.2,0â€“1,1.1,Lille,,Stade Auguste-Delaune II,Stéphanie Frappart
2,Sun,30/08/2020,15:00 (14:00),Saint-Étienne,1.3,2â€“0,0.2,Lorient,,Stade Geoffroy-Guichard,Florent Batta
2,Sun,30/08/2020,15:00 (14:00),Nantes,2.3,2â€“1,1.4,Nîmes,,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem
2,Sun,30/08/2020,15:00 (14:00),Angers,0.9,0â€“2,2.1,Bordeaux,,Stade Raymond Kopa,Karim Abed
2,Sun,30/08/2020,21:00 (20:00),Brest,2.7,2â€“3,1.4,Marseille,,Stade Francis-Le Blé,Amaury Delerue
2,Thu,10/09/2020,21:00 (20:00),Lens,1.4,1â€“0,0.6,Paris S-G,,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem
3,Fri,11/09/2020,21:00 (20:00),Bordeaux,0.2,0â€“0,2.2,Lyon,,Stade Matmut-Atlantique,Ruddy Buquet
3,Sat,12/09/2020,17:00 (16:00),Montpellier,1.6,3â€“1,0.4,Nice,,Stade de la Mosson,Antony Gautier
3,Sat,12/09/2020,21:00 (20:00),Saint-Étienne,1.7,2â€“0,1.2,Strasbourg,,Stade Geoffroy-Guichard,Eric Wattellier
3,Sun,13/09/2020,13:00 (12:00),Lille,1.5,1â€“0,0.7,Metz,,Stade Pierre-Mauroy,Jérémie Pignard
3,Sun,13/09/2020,15:00 (14:00),Lorient,1.3,2â€“3,2.1,Lens,,Stade Yves Allainmat - Le Moustoir, Aurélien Petit
3,Sun,13/09/2020,15:00 (14:00),Angers,2,1â€“0,0.3,Reims,,Stade Raymond Kopa,Benoît Bastien
3,Sun,13/09/2020,15:00 (14:00),Nîmes,1.4,2â€“4,1.9,Rennes,,Stade des Costières,Mikael Lesage
3,Sun,13/09/2020,15:00 (14:00),Dijon,0.4,0â€“2,2,Brest,, Stade Gaston Gérard,Bastien Dechepy
3,Sun,13/09/2020,17:00 (16:00),Monaco,2,2â€“1,0.6,Nantes,,Stade Louis II.,Clément Turpin
3,Sun,13/09/2020,21:00 (20:00),Paris S-G,1.7,0â€“1,0.5,Marseille,,Parc des Princes,Jérôme Brisard
1,Tue,15/09/2020,21:00 (20:00),Montpellier,1.6,2â€“1,1.6,Lyon,,Stade de la Mosson, François Letexier
1,Wed,16/09/2020,21:00 (20:00),Paris S-G,2.3,1â€“0,1.1,Metz,,Parc des Princes,Mikael Lesage
1,Thu,17/09/2020,21:00 (20:00),Marseille,2.3,0â€“2,1.5,Saint-Étienne,,Orange Vélodrome,Ruddy Buquet
4,Sat,19/09/2020,17:00 (16:00),Lens,3.5,2â€“1,0.4,Bordeaux,,Stade Bollaert-Delelis, Benoît Millot
4,Sat,19/09/2020,21:00 (20:00),Rennes,1.3,2â€“1,1.3,Monaco,,Roazhon Park, Jérôme Miguelgorry
4,Sun,20/09/2020,13:00 (12:00),Nice,1,0â€“3,3.2,Paris S-G,,Stade de Nice,Benoît Bastien
4,Sun,20/09/2020,15:00 (14:00),Montpellier,1.3,4â€“1,1,Angers,,Stade de la Mosson,Stéphanie Frappart
4,Sun,20/09/2020,15:00 (14:00),Strasbourg,2,1â€“0,0.5,Dijon,,Stade de la Meinau,Florent Batta
4,Sun,20/09/2020,15:00 (14:00),Metz,0.9,2â€“1,1.4,Reims,,Stade Saint-Symphorien,Johan Hamel
4,Sun,20/09/2020,15:00 (14:00),Brest,1.4,3â€“2,1.6,Lorient,,Stade Francis-Le Blé,Karim Abed
4,Sun,20/09/2020,17:00 (16:00),Nantes,1.9,2â€“2,1.1,Saint-Étienne,,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier
4,Sun,20/09/2020,21:00 (20:00),Marseille,0.7,1â€“1,1.7,Lille,,Orange Vélodrome,Hakim Ben El Hadj Salem
5,Fri,25/09/2020,21:00 (20:00),Lille,2,2â€“0,0.9,Nantes,,Stade Pierre-Mauroy,Willy Delajod
