Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
1,Sat,24/08/2019,18:00 (17:00),Parma,0.4,0â€“1,1.3,Juventus,"20,073",Stadio Ennio Tardini,Fabio Maresca
1,Sat,24/08/2019,20:45 (19:45),Fiorentina,1.7,3â€“4,2,Napoli,"33,614",Stadio Artemio Franchi,Davide Massa
1,Sun,25/08/2019,18:00 (17:00),Udinese,0.9,1â€“0,0.4,Milan,"24,584",Dacia Arena,Fabrizio Pasqua
1,Sun,25/08/2019,20:45 (19:45),SPAL,1.6,2â€“3,1.7,Atalanta,"11,706",Stadio Paolo Mazza,Gianluca Manganiello
1,Sun,25/08/2019,20:45 (19:45),Roma,1.9,3â€“3,1.3,Genoa,"38,779",Stadio Olimpico,Giampaolo Calvarese
1,Sun,25/08/2019,20:45 (19:45),Torino,1.2,2â€“1,1.5,Sassuolo,"16,536",Stadio Olimpico di Torino,Maurizio Mariani
1,Sun,25/08/2019,20:45 (19:45),Hellas Verona,0.2,1â€“1,1.6,Bologna,"16,324",Stadio Marc'Antonio Bentegodi,Antonio Giua
1,Sun,25/08/2019,20:45 (19:45),Sampdoria,0.8,0â€“3,2.3,Lazio,"19,500",Stadio Comunale Luigi Ferraris,Gianluca Rocchi
1,Sun,25/08/2019,20:45 (19:45),Cagliari,1,0â€“1,1.5,Brescia,"16,099",Sardegna Arena,Eugenio Abbattista
1,Mon,26/08/2019,20:45 (19:45),Inter,1.7,4â€“0,0.7,Lecce,"64,188",Stadio Giuseppe Meazza,Federico La Penna
2,Fri,30/08/2019,20:45 (19:45),Bologna,2.8,1â€“0,0.7,SPAL,"25,086",Stadio Renato Dall'Ara,Marco Di Bello
2,Sat,31/08/2019,18:00 (17:00),Milan,1.5,1â€“0,0.6,Brescia,"56,691",Stadio Giuseppe Meazza,Rosario Abisso
2,Sat,31/08/2019,20:45 (19:45),Juventus,1.4,4â€“3,1.4,Napoli,"39,203",Allianz Stadium,Daniele Orsato
2,Sun,01/09/2019,18:00 (17:00),Lazio,1.9,1â€“1,1.3,Roma,"52,000",Stadio Olimpico,Marco Guida
2,Sun,01/09/2019,20:45 (19:45),Sassuolo,1.6,4â€“1,1.5,Sampdoria,"9,608",Stadio Città del Tricolore,Luca Pairetto
2,Sun,01/09/2019,20:45 (19:45),Udinese,1.5,1â€“3,0.6,Parma,"20,410",Dacia Arena,Marco Piccinini
2,Sun,01/09/2019,20:45 (19:45),Genoa,2.1,2â€“1,1.9,Fiorentina,"20,000",Stadio Comunale Luigi Ferraris,Piero Giacomelli
2,Sun,01/09/2019,20:45 (19:45),Cagliari,0.4,1â€“2,1.5,Inter,"16,412",Sardegna Arena,Fabio Maresca
2,Sun,01/09/2019,20:45 (19:45),Lecce,1.3,0â€“1,1.4,Hellas Verona,"24,418",Stadio Comunale Via Del Mare,Juan Sacchi
2,Sun,01/09/2019,20:45 (19:45),Atalanta,2,2â€“3,1.1,Torino,"8,182",Stadio Ennio Tardini,Daniele Doveri
3,Sat,14/09/2019,15:00 (14:00),Fiorentina,1.6,0â€“0,0.3,Juventus,"40,000",Stadio Artemio Franchi,Massimiliano Irrati
3,Sat,14/09/2019,18:00 (17:00),Napoli,1.3,2â€“0,1.5,Sampdoria,"40,000",Stadio San Paolo,Federico La Penna
3,Sat,14/09/2019,20:45 (19:45),Inter,1.4,1â€“0,0.4,Udinese,"57,991",Stadio Giuseppe Meazza,Maurizio Mariani
3,Sun,15/09/2019,12:30 (11:30),Genoa,1.4,1â€“2,2.5,Atalanta,"23,395",Stadio Comunale Luigi Ferraris,Michael Fabbri
3,Sun,15/09/2019,15:00 (14:00),Brescia,0.8,3â€“4,3.2,Bologna,"15,000",Stadio Mario Rigamonti,Gianluca Rocchi
3,Sun,15/09/2019,15:00 (14:00),SPAL,1.1,2â€“1,1.5,Lazio,"13,650",Stadio Paolo Mazza,Giampaolo Calvarese
3,Sun,15/09/2019,15:00 (14:00),Parma,1,1â€“3,0.7,Cagliari,"14,068",Stadio Ennio Tardini,Fabrizio Pasqua
3,Sun,15/09/2019,18:00 (17:00),Roma,2.1,4â€“2,1.2,Sassuolo,"34,407",Stadio Olimpico,Daniele Chiffi
3,Sun,15/09/2019,20:45 (19:45),Hellas Verona,0.8,0â€“1,1.3,Milan,"24,363",Stadio Marc'Antonio Bentegodi,Gianluca Manganiello
3,Mon,16/09/2019,20:45 (19:45),Torino,2,1â€“2,1.2,Lecce,"21,620",Stadio Olimpico di Torino,Antonio Giua
4,Fri,20/09/2019,20:45 (19:45),Cagliari,1.5,3â€“1,1.3,Genoa,"14,574",Sardegna Arena,Gianluca Manganiello
4,Sat,21/09/2019,15:00 (14:00),Udinese,0.6,0â€“1,0.7,Brescia,"19,611",Dacia Arena,Paolo Valeri
4,Sat,21/09/2019,18:00 (17:00),Juventus,2,2â€“1,1.2,Hellas Verona,"39,945",Allianz Stadium,Federico La Penna
4,Sat,21/09/2019,20:45 (19:45),Milan,0.8,0â€“2,1.9,Inter,"70,440",Stadio Giuseppe Meazza,Daniele Doveri
4,Sun,22/09/2019,12:30 (11:30),Sassuolo,2.4,3â€“0,1,SPAL,"10,937",Stadio Città del Tricolore,Maurizio Mariani
4,Sun,22/09/2019,15:00 (14:00),Bologna,1.4,1â€“2,1.5,Roma,"25,513",Stadio Renato Dall'Ara,Luca Pairetto
4,Sun,22/09/2019,15:00 (14:00),Sampdoria,1.2,1â€“0,0.6,Torino,"19,041",Stadio Comunale Luigi Ferraris,Piero Giacomelli
4,Sun,22/09/2019,15:00 (14:00),Lecce,1.2,1â€“4,2.8,Napoli,"21,644",Stadio Comunale Via Del Mare,Marco Piccinini
4,Sun,22/09/2019,18:00 (17:00),Atalanta,1.1,2â€“2,0.9,Fiorentina,"10,314",Stadio Ennio Tardini,Daniele Orsato
4,Sun,22/09/2019,20:45 (19:45),Lazio,2.2,2â€“0,0.7,Parma,"31,404",Stadio Olimpico,Rosario Abisso
5,Tue,24/09/2019,19:00 (18:00),Hellas Verona,1,0â€“0,0.8,Udinese,"13,740",Stadio Marc'Antonio Bentegodi,Daniele Chiffi
