Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
1,Fri,16/08/2019,20:30 (19:30),Bayern Munich,2.6,2â€“2,1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers
1,Sat,17/08/2019,15:30 (14:30),Wolfsburg,0.9,2â€“1,1.2, Köln,"25,099",Volkswagen Arena,Sven Jablonski
1,Sat,17/08/2019,15:30 (14:30),Freiburg,1.8,3â€“0,0.9,Mainz 05,"24,000",Schwarzwald-Stadion,Robert Hartmann
1,Sat,17/08/2019,15:30 (14:30),Dortmund,2.7,5â€“1,0.7,Augsburg,"81,365",Signal Iduna Park,Frank Willenborg
1,Sat,17/08/2019,15:30 (14:30),Leverkusen,2.7,3â€“2,1.2,Paderborn 07,"26,208",BayArena,Tobias Stieler
1,Sat,17/08/2019,15:30 (14:30),Werder Bremen,2.4,1â€“3,0.9, Düsseldorf,"42,100",Weserstadion,Felix Zwayer
1,Sat,17/08/2019,18:30 (17:30),M'Gladbach,1.6,0â€“0,0.6,Schalke 04,"54,022",Stadion im Borussia-Park,Felix Brych
1,Sun,18/08/2019,15:30 (14:30),Eint Frankfurt,1.1,1â€“0,0.6,Hoffenheim,"50,200",Commerzbank-Arena,Daniel Siebert
1,Sun,18/08/2019,18:00 (17:00),Union Berlin,0.5,0â€“4,3.1,RB Leipzig,"22,467",Stadion An der Alten Försterei,Markus Schmidt
2,Fri,23/08/2019,20:30 (19:30), Köln,0.7,1â€“3,1.4,Dortmund,"50,000",RheinEnergieSTADION,Christian Dingert
2,Sat,24/08/2019,15:30 (14:30),Paderborn 07,1.7,1â€“3,2.2,Freiburg,"14,322",Benteler-Arena,Tobias Welz
2,Sat,24/08/2019,15:30 (14:30), Düsseldorf,1,1â€“3,1.8,Leverkusen,"44,538",Merkur Spielarena,Patrick Ittrich
2,Sat,24/08/2019,15:30 (14:30),Hoffenheim,0.7,3â€“2,1.3,Werder Bremen,"27,333",PreZero Arena,Sascha Stegemann
2,Sat,24/08/2019,15:30 (14:30),Augsburg,1.3,1â€“1,1.1,Union Berlin,"27,703",WWK Arena, Robert Schröder
2,Sat,24/08/2019,15:30 (14:30),Mainz 05,1.3,1â€“3,1.6,M'Gladbach,"28,005",Opel Arena,Martin Petersen
2,Sat,24/08/2019,18:30 (17:30),Schalke 04,1,0â€“3,1.5,Bayern Munich,"62,271",Veltins-Arena,Marco Fritz
2,Sun,25/08/2019,15:30 (14:30),RB Leipzig,1.4,2â€“1,1,Eint Frankfurt,"40,108",Red Bull Arena,Benjamin Cortus
2,Sun,25/08/2019,18:00 (17:00),Hertha BSC,1.1,0â€“3,1.3,Wolfsburg,"42,738",Olympiastadion Berlin,Guido Winkmann
3,Fri,30/08/2019,20:30 (19:30),M'Gladbach,1.1,1â€“3,2.2,RB Leipzig,"47,327",Stadion im Borussia-Park,Sven Jablonski
3,Sat,31/08/2019,15:30 (14:30),Wolfsburg,0.6,1â€“1,0.7,Paderborn 07,"23,750",Volkswagen Arena,Daniel Schlager
3,Sat,31/08/2019,15:30 (14:30),Schalke 04,1,3â€“0,0.8,Hertha BSC,"58,875",Veltins-Arena,Tobias Stieler
3,Sat,31/08/2019,15:30 (14:30),Leverkusen,0.8,0â€“0,0.3,Hoffenheim,"26,506",BayArena,Felix Zwayer
3,Sat,31/08/2019,15:30 (14:30),Freiburg,0.7,1â€“2,1.3, Köln,"24,000",Schwarzwald-Stadion,Robert Kampka
3,Sat,31/08/2019,15:30 (14:30),Bayern Munich,2.7,6â€“1,0.4,Mainz 05,"75,000",Allianz Arena,Markus Schmidt
