Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
24,Tue,10/03/2020,20:00 (19:00),Eibar,2.2,1â€“2,1.5,Real Sociedad,, Estadio Municipal de Ipurúa,David Medié
28,Thu,11/06/2020,22:00 (21:00),Sevilla,1.5,2â€“0,0.5,Betis,,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz
28,Fri,12/06/2020,19:30 (18:30),Granada,1.7,2â€“1,0.7,Getafe,,Estadio Nuevo Los Cármenes,David Medié
28,Fri,12/06/2020,22:00 (21:00),Valencia,0.8,1â€“1,1.3,Levante,,Estadio de Mestalla,Alberola Rojas
28,Sat,13/06/2020,14:00 (13:00),Espanyol,1.7,2â€“0,0.2,Alavés,,RCDE Stadium, Pablo González
28,Sat,13/06/2020,17:00 (16:00),Celta Vigo,0.1,0â€“1,2,Villarreal,,Estadio de Balaídos, Valentín Pizarro
28,Sat,13/06/2020,19:30 (18:30),Leganés,1.2,1â€“2,1.3,Valladolid,,Estadio Municipal de Butarque,Mario Melero
28,Sat,13/06/2020,22:00 (21:00),Mallorca,0.8,0â€“4,2.4,Barcelona,,Iberostar Estadi,Carlos del Cerro
28,Sun,14/06/2020,14:00 (13:00),Athletic Club,0.4,1â€“1,1.4,Atlético Madrid,,San Mamés,José González
28,Sun,14/06/2020,19:30 (18:30),Real Madrid,1.3,3â€“1,0.6,Eibar,,Estadio Alfredo Di StÃ©fano,Guillermo Cuadra
28,Sun,14/06/2020,22:00 (21:00),Real Sociedad,1.4,1â€“1,1.3,Osasuna,,Estadio Municipal de Anoeta,Adrián Cordero
29,Mon,15/06/2020,19:30 (18:30),Levante,0.8,1â€“1,0.8,Sevilla,,Estadio Ciudad de Valencia,Alejandro Hernández
29,Mon,15/06/2020,22:00 (21:00),Betis,1.7,2â€“2,0.7,Granada,,Estadio Benito Villamarín,César Soto
29,Tue,16/06/2020,19:30 (18:30),Getafe,1.3,0â€“0,0.9,Espanyol,,Coliseum Alfonso Pérez,José Luis Munuera
29,Tue,16/06/2020,19:30 (18:30),Villarreal,1.6,1â€“0,1.4,Mallorca,,Estadio de la Cerámica,Javier Estrada
29,Tue,16/06/2020,22:00 (21:00),Barcelona,1.5,2â€“0,0.8,Leganés,,Camp Nou,Juan Martínez
29,Wed,17/06/2020,19:30 (18:30),Eibar,2.1,2â€“2,1.3,Athletic Club,, Estadio Municipal de Ipurúa,Eduardo Prieto
29,Wed,17/06/2020,19:30 (18:30),Valladolid,0.4,0â€“0,1.1,Celta Vigo,,Estadio Municipal José Zorrilla, Jesús Gil
