Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
1,Fri,09/08/2019,20:45 (19:45),Monaco,0.8,0â€“3,0.8,Lyon,"10,000",Stade Louis II.,Ruddy Buquet
1,Sat,10/08/2019,17:30 (16:30),Marseille,0.5,0â€“2,1.5,Reims,"52,887",Orange Vélodrome, Jérôme Brisard
1,Sat,10/08/2019,20:00 (19:00),Montpellier,2,0â€“1,1.1,Rennes,"15,212",Stade de la Mosson,Willy Delajod
1,Sat,10/08/2019,20:00 (19:00),Dijon,2.1,1â€“2,1.3,Saint-Étienne,"14,334",Stade Gaston Gérard, Thomas Léonard
1,Sat,10/08/2019,20:00 (19:00),Angers,1.4,3â€“1,1,Bordeaux,"10,749",Stade Raymond Kopa,Hakim Ben El Hadj Salem
1,Sat,10/08/2019,20:00 (19:00),Brest,1.7,1â€“1,2,Toulouse,"14,238",Stade Francis-Le Blé,Olivier Thual
1,Sat,10/08/2019,20:00 (19:00),Nice,1.7,2â€“1,0.9,Amiens,"17,719",Stade de Nice, Jérémie Pignard
1,Sun,11/08/2019,15:00 (14:00),Lille,1.5,2â€“1,0.7,Nantes,"34,494",Stade Pierre-Mauroy,Mikael Lesage
1,Sun,11/08/2019,17:00 (16:00),Strasbourg,1.3,1â€“1,0.7,Metz,"25,476",Stade de la Meinau,Antony Gautier
1,Sun,11/08/2019,21:00 (20:00),Paris S-G,3,3â€“0,0.3,Nîmes,"47,151",Parc des Princes, Clément Turpin
2,Fri,16/08/2019,20:45 (19:45),Lyon,1.3,6â€“0,0.3,Angers,"49,871",Groupama Stadium, Benoît Millot
2,Sat,17/08/2019,17:30 (16:30),Nantes,0.6,0â€“0,1.1,Marseille,"34,832",Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien
2,Sat,17/08/2019,20:00 (19:00),Bordeaux,0.9,1â€“1,0.5,Montpellier,"30,192",Stade Matmut-Atlantique,Franck Schneider
2,Sat,17/08/2019,20:00 (19:00),Nîmes,1.2,1â€“2,1.6,Nice,"13,243",Stade des Costières,François Letexier
2,Sat,17/08/2019,20:00 (19:00),Toulouse,1.9,1â€“0,1.3,Dijon,"10,583",Stadium Municipal,Ruddy Buquet
2,Sat,17/08/2019,20:00 (19:00),Metz,2.3,3â€“0,0.8,Monaco,"19,088",Stade Saint-Symphorien,Eric Wattellier
2,Sat,17/08/2019,20:00 (19:00),Amiens,1.3,1â€“0,0.2,Lille,"12,481",Stade de la Licorne,Karim Abed
2,Sun,18/08/2019,15:00 (14:00),Saint-Étienne,1.7,1â€“1,0.5,Brest,"28,645",Stade Geoffroy-Guichard,Johan Hamel
2,Sun,18/08/2019,17:00 (16:00),Reims,0.4,0â€“0,0.4,Strasbourg,"13,714",Stade Auguste-Delaune II,Florent Batta
2,Sun,18/08/2019,21:00 (20:00),Rennes,0.8,2â€“1,0.7,Paris S-G,"28,596",Roazhon Park,Antony Gautier
3,Sat,24/08/2019,20:00 (19:00),Amiens,0.4,1â€“2,2.2,Nantes,"11,393",Stade de la Licorne,Jeremy Stinat
3,Sat,24/08/2019,20:00 (19:00),Dijon,0.5,0â€“2,0.7,Bordeaux,"12,471",Stade Gaston Gérard,François Letexier
3,Sat,24/08/2019,20:00 (19:00),Brest,0.6,1â€“0,0.8,Reims,"13,958",Stade Francis-Le Blé,Hakim Ben El Hadj Salem
3,Sat,24/08/2019,20:00 (19:00),Angers,1.4,3â€“0,0.1,Metz,"9,001",Stade Raymond Kopa,Stéphanie Frappart
3,Sun,25/08/2019,15:00 (14:00),Monaco,3,2â€“2,1.3,Nîmes,"7,438",Stade Louis II.,Amaury Delerue
3,Sun,25/08/2019,17:00 (16:00),Strasbourg,1.8,0â€“2,0.4,Rennes,"24,951",Stade de la Meinau,Ruddy Buquet
3,Sun,25/08/2019,21:00 (20:00),Paris S-G,3.5,4â€“0,0.3,Toulouse,"47,325",Parc des Princes, Jérôme Brisard
3,Tue,27/08/2019,19:00 (18:00),Montpellier,2,1â€“0,0.8,Lyon,"19,387",Stade de la Mosson,Mikael Lesage
3,Wed,28/08/2019,19:00 (18:00),Lille,2.6,3â€“0,0.5,Saint-Étienne,"36,138",Stade Pierre-Mauroy,Olivier Thual
3,Wed,28/08/2019,21:00 (20:00),Nice,1.5,1â€“2,1.6,Marseille,"31,825",Stade de Nice, Clément Turpin
4,Fri,30/08/2019,20:45 (19:45),Metz,0.4,0â€“2,1.5,Paris S-G,"20,685",Stade Saint-Symphorien,Franck Schneider
4,Sat,31/08/2019,17:30 (16:30),Lyon,0.8,1â€“1,1.1,Bordeaux,"52,327",Groupama Stadium,Antony Gautier
4,Sat,31/08/2019,20:00 (19:00),Toulouse,0.9,2â€“0,0.4,Amiens,"10,184",Stadium Municipal,Florent Batta
4,Sat,31/08/2019,20:00 (19:00),Angers,1,2â€“0,0.7,Dijon,"8,988",Stade Raymond Kopa, Jérémie Pignard
4,Sat,31/08/2019,20:00 (19:00),Nîmes,2.2,3â€“0,1.1,Brest,"12,488",Stade des Costières, Thomas Léonard
4,Sat,31/08/2019,20:00 (19:00),Nantes,0.7,1â€“0,0.8,Montpellier,"18,980",Stade de la Beaujoire - Louis Fonteneau,Karim Abed
4,Sun,01/09/2019,15:00 (14:00),Rennes,0.6,1â€“2,1.9,Nice,"26,721",Roazhon Park,Johan Hamel
4,Sun,01/09/2019,15:00 (14:00),Reims,1.9,2â€“0,1.4,Lille,"14,477",Stade Auguste-Delaune II,Eric Wattellier
4,Sun,01/09/2019,17:00 (16:00),Strasbourg,1.1,2â€“2,3.1,Monaco,"24,556",Stade de la Meinau,Willy Delajod
4,Sun,01/09/2019,21:00 (20:00),Marseille,0.8,1â€“0,0.7,Saint-Étienne,"44,074",Orange Vélodrome, Benoît Millot
5,Fri,13/09/2019,19:00 (18:00),Lille,1.4,2â€“1,0.7,Angers,"32,834",Stade Pierre-Mauroy,Ruddy Buquet
5,Fri,13/09/2019,20:45 (19:45),Amiens,0.6,2â€“2,1.7,Lyon,"12,577",Stade de la Licorne,Benoît Bastien
5,Sat,14/09/2019,17:30 (16:30),Paris S-G,0.9,1â€“0,0.5,Strasbourg,"47,505",Parc des Princes,Amaury Delerue
5,Sat,14/09/2019,20:00 (19:00),Brest,0.4,0â€“0,0.3,Rennes,"14,937",Stade Francis-Le Blé, Clément Turpin
5,Sat,14/09/2019,20:00 (19:00),Dijon,0.9,0â€“0,0.5,Nîmes,"11,413",Stade Gaston Gérard,Stéphanie Frappart
5,Sat,14/09/2019,20:00 (19:00),Montpellier,1.5,2â€“1,1.3,Nice,"12,765",Stade de la Mosson,Olivier Thual
5,Sat,14/09/2019,20:00 (19:00),Bordeaux,1.1,2â€“0,1,Metz,"14,352",Stade Matmut-Atlantique,Mikael Lesage
5,Sun,15/09/2019,15:00 (14:00),Nantes,0.4,1â€“0,0.6,Reims,"18,897",Stade de la Beaujoire - Louis Fonteneau,Willy Delajod
5,Sun,15/09/2019,17:00 (16:00),Saint-Étienne,1.4,2â€“2,1.7,Toulouse,"24,240",Stade Geoffroy-Guichard,Jeremy Stinat
5,Sun,15/09/2019,21:00 (20:00),Monaco,2.8,3â€“4,1.9,Marseille,"9,147",Stade Louis II.,Antony Gautier
6,Fri,20/09/2019,20:45 (19:45),Strasbourg,2.2,2â€“1,0.6,Nantes,"24,013",Stade de la Meinau,Florent Batta
6,Sat,21/09/2019,17:30 (16:30),Marseille,1.5,1â€“1,0.1,Montpellier,"48,007",Orange Vélodrome,Amaury Delerue
6,Sat,21/09/2019,20:00 (19:00),Nîmes,1.5,1â€“0,0.9,Toulouse,"12,258",Stade des Costières,Karim Abed
6,Sat,21/09/2019,20:00 (19:00),Nice,1,2â€“1,1.7,Dijon,"16,255",Stade de Nice,Willy Delajod
6,Sat,21/09/2019,20:00 (19:00),Reims,1.8,0â€“0,0.6,Monaco,"14,426",Stade Auguste-Delaune II,Olivier Thual
6,Sat,21/09/2019,20:00 (19:00),Bordeaux,1.2,2â€“2,1.4,Brest,"15,213",Stade Matmut-Atlantique, Benoît Millot
6,Sat,21/09/2019,20:00 (19:00),Metz,1.5,1â€“2,1.5,Amiens,"15,106",Stade Saint-Symphorien,Hakim Ben El Hadj Salem
6,Sun,22/09/2019,15:00 (14:00),Rennes,0.5,1â€“1,1.3,Lille,"25,772",Roazhon Park, Jérôme Brisard
6,Sun,22/09/2019,17:00 (16:00),Angers,1.6,4â€“1,0.5,Saint-Étienne,"9,831",Stade Raymond Kopa,Franck Schneider
6,Sun,22/09/2019,21:00 (20:00),Lyon,0.8,0â€“1,1.9,Paris S-G,"54,583",Groupama Stadium,Ruddy Buquet
7,Tue,24/09/2019,19:00 (18:00),Dijon,1.5,0â€“0,1.1,Marseille,"15,061",Stade Gaston Gérard,Jeremy Stinat
7,Tue,24/09/2019,21:00 (20:00),Monaco,2,3â€“1,0.6,Nice,"9,358",Stade Louis II.,Mikael Lesage
7,Wed,25/09/2019,19:00 (18:00),Toulouse,0.2,0â€“2,1.7,Angers,"10,177",Stadium Municipal,Olivier Thual
7,Wed,25/09/2019,19:00 (18:00),Brest,0.6,2â€“2,1,Lyon,"14,472",Stade Francis-Le Blé,Amaury Delerue
7,Wed,25/09/2019,19:00 (18:00),Nantes,1.3,1â€“0,1.2,Rennes,"26,952",Stade de la Beaujoire - Louis Fonteneau,Antony Gautier
7,Wed,25/09/2019,19:00 (18:00),Amiens,1.6,1â€“3,1,Bordeaux,"11,367",Stade de la Licorne,Willy Delajod
7,Wed,25/09/2019,19:00 (18:00),Saint-Étienne,1,0â€“1,0.9,Metz,"19,712",Stade Geoffroy-Guichard,Eric Wattellier
7,Wed,25/09/2019,19:00 (18:00),Montpellier,0.6,1â€“0,1.1,Nîmes,"16,445",Stade de la Mosson,Benoît Bastien
7,Wed,25/09/2019,19:00 (18:00),Lille,2.7,2â€“0,0.5,Strasbourg,"30,103",Stade Pierre-Mauroy,Johan Hamel
7,Wed,25/09/2019,21:00 (20:00),Paris S-G,0.5,0â€“2,1,Reims,"47,376",Parc des Princes,François Letexier
8,Sat,28/09/2019,13:30 (12:30),Lyon,1.4,0â€“1,0.4,Nantes,"46,647",Groupama Stadium, Benoît Millot
8,Sat,28/09/2019,17:30 (16:30),Bordeaux,0.1,0â€“1,3.1,Paris S-G,"39,215",Stade Matmut-Atlantique, Jérôme Brisard
8,Sat,28/09/2019,20:00 (19:00),Reims,1.7,1â€“2,1.6,Dijon,"11,033",Stade Auguste-Delaune II, Jérémie Pignard
8,Sat,28/09/2019,20:00 (19:00),Metz,1.7,2â€“2,1,Toulouse,"15,054",Stade Saint-Symphorien,Florent Batta
8,Sat,28/09/2019,20:00 (19:00),Nice,0.9,1â€“1,1.4,Lille,"18,295",Stade de Nice, Clément Turpin
8,Sat,28/09/2019,20:00 (19:00),Monaco,3.9,4â€“1,0.6,Brest,"4,576",Stade Louis II.,Ruddy Buquet
8,Sat,28/09/2019,20:00 (19:00),Angers,0.9,1â€“1,0.9,Amiens,"9,331",Stade Raymond Kopa,Karim Abed
